graph_name,graph_order,graph_size,fitness_value,elapsed_time(microseconds),is_dense
cubic_900,900,1350,667,354334425,no
cubic_900,900,1350,668,354419251,no
cubic_900,900,1350,668,354340068,no
cubic_900,900,1350,667,354168609,no
cubic_900,900,1350,667,354058346,no
cubic_900,900,1350,665,354083239,no
cubic_900,900,1350,666,354117566,no
cubic_900,900,1350,667,354458992,no
cubic_900,900,1350,664,354212498,no
cubic_900,900,1350,669,354040392,no
